Machine_ID,Temperature,Run_Time,Downtime_Flag
78402,94.93,53,0
23533,98.2,468,1
15623,92.55,313,0
25526,94.62,294,0
84777,98.25,162,1
89958,86.99,99,1
8578,84.43,345,0
36702,70.6,438,0
52268,96.98,477,0
79749,93.55,411,1
71870,78.09,334,1
25837,71.8,490,1
91624,94.35,257,1
42254,97.79,143,0
1586,83.96,279,1
94448,98.82,359,1
76440,90.79,171,0
78932,76.39,336,1
4039,62.02,265,1
95353,66.78,482,1
62638,82.64,270,0
28298,78.93,312,0
94602,75.66,149,1
78220,68.88,186,0
55420,74.16,475,0
55373,74.67,89,0
21320,81.61,231,0
31086,81.89,182,1
35007,97.58,144,1
43524,64.68,98,1
47706,87.59,62,1
82672,86.46,471,0
46550,84.39,490,1
87380,71.79,425,0
54228,82.87,434,0
58605,99.09,252,1
97300,95.06,210,0
78289,75.18,429,1
48958,69.93,492,0
4613,63.12,288,1
6822,64.43,161,0
99954,84.06,273,1
6295,62.0,241,0
11933,61.78,75,0
44969,67.86,109,0
53512,64.99,331,1
98507,61.41,80,0
59630,60.42,349,0
69583,85.0,202,0
35155,77.19,197,1
78349,99.96,206,0
27946,90.92,69,0
27670,71.42,108,1
91328,93.68,467,1
2071,83.63,111,1
93498,78.08,318,1
66062,76.44,51,0
60242,72.22,192,0
50728,93.12,57,0
52783,73.58,147,0
63000,83.62,169,0
28107,77.69,231,0
54701,95.6,246,0
4889,88.47,353,0
67794,62.08,248,1
15004,65.3,460,0
2298,78.72,353,1
46104,91.39,451,1
73083,73.43,293,0
19321,78.03,419,0
42588,85.49,251,0
46847,61.6,370,0
1695,71.63,442,0
94480,87.02,153,1
30702,66.12,108,0
69778,65.65,313,1
17460,75.45,318,0
68547,89.15,385,0
36692,86.6,353,1
75546,98.92,200,1
35287,68.95,103,1
33085,97.38,232,1
49607,98.59,481,0
8730,86.02,475,1
56615,80.33,479,1
7582,88.11,277,1
29548,63.42,225,1
57702,71.99,263,0
96490,62.2,171,1
1855,95.99,307,1
86489,75.36,432,1
43550,62.98,348,0
99736,64.23,400,0
14753,66.09,205,1
38520,82.36,382,0
31202,69.59,490,1
28428,90.94,198,1
5341,86.59,58,0
7,80.97,285,1
80205,97.62,349,1
43121,87.03,469,0
28935,79.62,400,1
39764,60.45,241,1
52193,86.71,204,0
24121,64.78,349,1
48379,69.03,139,1
32549,91.79,421,1
89626,91.34,160,1
35132,90.42,131,0
58401,95.66,330,1
89359,92.25,161,0
97999,75.86,171,1
45722,60.27,384,1
85395,97.26,418,0
53246,99.71,396,1
31617,60.49,139,1
43961,77.26,277,1
63532,78.8,263,1
79179,75.71,374,1
72085,92.43,297,0
22214,73.96,100,1
87685,65.27,97,1
46736,92.68,93,1
18824,78.66,59,0
57155,82.26,338,1
31746,69.85,132,1
45406,87.87,231,1
52517,88.09,168,1
1108,73.98,360,1
27458,94.26,187,1
98735,71.15,145,1
30575,69.02,221,1
38620,74.05,102,0
65089,99.24,69,1
65429,74.73,176,0
25891,65.11,165,0
61089,96.78,124,0
24452,86.27,422,1
62747,87.47,89,0
6119,77.31,59,1
26191,66.48,493,0
37301,89.21,146,1
47020,75.56,174,1
37168,86.17,240,1
12174,79.91,277,1
67061,81.84,297,0
98327,68.2,168,1
61238,72.16,438,1
69010,77.2,343,0
7213,80.61,444,1
41545,64.45,222,1
2206,92.5,469,1
7318,64.64,334,0
71124,65.67,483,1
27979,62.84,184,1
90266,97.08,449,0
73177,63.03,255,1
66630,60.48,227,0
25280,65.53,92,1
6656,98.97,460,1
76945,96.96,78,1
40083,75.2,403,0
36784,90.23,355,0
96973,89.79,142,1
40052,96.02,483,0
93280,74.23,146,0
85086,83.23,453,0
4918,93.73,421,1
11120,78.3,416,0
44314,92.9,159,1
66130,61.7,130,1
756,95.08,332,0
65153,91.96,179,1
73026,68.07,59,1
34616,83.8,288,0
51056,90.11,264,0
68772,63.77,121,1
18079,70.21,404,0
64116,69.04,405,1
49649,88.07,333,1
44230,81.14,161,0
37814,62.86,211,0
24133,92.46,231,0
64474,94.54,252,1
5081,61.26,102,0
35304,90.08,108,0
8349,67.49,94,0
53653,71.02,284,1
27802,82.07,460,1
52826,77.18,273,0
39643,94.92,489,0
72048,90.2,152,1
59685,88.21,242,0
37379,83.53,56,0
23426,69.43,275,1
99188,77.8,199,1
74022,79.53,304,1
35089,89.17,392,0
9843,85.22,289,0
71578,72.04,199,0
2110,66.35,345,0
76143,70.37,144,0
84517,98.27,260,0
60328,84.27,78,0
66330,63.51,434,0
49793,75.44,73,1
49011,75.77,201,1
49310,71.61,93,1
97643,86.89,484,1
85160,80.3,260,1
80894,69.99,345,0
11498,72.74,82,1
49716,98.31,341,1
79313,86.86,75,1
49214,64.46,81,0
90011,84.14,87,1
68844,93.44,411,1
30091,83.58,327,1
66538,83.7,252,1
82201,90.98,322,0
79405,92.43,488,1
28515,79.56,193,1
78559,82.97,308,1
88241,79.94,94,0
81650,62.01,273,0
88816,86.93,385,1
39860,72.32,262,1
17246,63.02,400,1
43841,75.81,186,1
90380,96.95,172,0
73926,66.69,395,1
25685,84.49,466,0
24237,75.38,356,0
31082,60.56,272,0
89297,66.16,297,0
62043,96.79,433,0
12789,94.88,368,0
53022,78.52,451,1
54169,66.47,83,0
63581,72.4,345,1
51046,81.59,165,1
18116,70.15,211,1
25753,81.03,283,0
72979,94.6,244,0
67328,62.68,216,1
98754,96.57,242,1
95400,96.4,448,1
13241,98.2,192,0
40164,97.58,284,1
63302,84.56,297,1
64514,86.66,180,1
76775,81.23,288,1
2420,87.91,153,0
99405,92.61,402,1
96204,88.79,273,1
71189,84.4,180,1
33044,83.6,374,0
42825,74.42,74,1
9649,78.06,333,1
58507,90.24,332,0
11212,89.37,426,1
28842,96.65,59,1
16449,75.57,102,0
7548,87.42,485,0
55659,69.9,337,0
93014,81.93,306,1
74918,73.37,331,0
86115,84.82,248,0
10711,79.65,176,0
24929,78.21,363,1
9616,80.27,337,0
1983,79.92,139,0
14886,61.13,318,1
67487,61.93,81,0
74838,80.64,389,0
29514,93.14,105,1
54216,84.85,474,1
95219,88.3,340,1
61899,92.08,217,0
67370,66.52,244,0
26178,84.64,307,0
72395,82.33,339,1
17637,72.03,288,0
77725,73.74,334,0
83448,93.03,113,0
33147,91.68,114,1
34443,61.26,324,0
61266,87.47,457,0
18710,60.99,306,1
97095,76.76,131,1
93615,96.42,486,0
95534,69.02,91,0
6314,71.18,68,1
18559,95.01,230,0
